# Weapons.csv — 무기 밸런스 원본. 배열 값은 | 로 구분하며 인덱스 = 레벨-1 (Lv1~Lv5).
# WeaponPrefab 은 WeaponBase 파생 컴포넌트를 가진 프리팹이다.
#   Weapon_Sword = ProjectileWeapon (투사체를 적 방향으로 발사, ProjectileCount 만큼 15도씩 부채꼴)
#   Weapon_Aoe   = AoeWeapon        (가장 가까운 적 위치에 폭발 생성. ProjectileCount 무시)
#   Weapon_Melee = MeleeWeapon      (발사체 없이 앞쪽 부채꼴을 직접 벤다. D10 신설)
#   Weapon_Field = FieldWeapon      (조준하지 않고 주변 무작위 좌표에 장판을 깐다. D11 신설)
# 🔴 Weapon_Melee 는 아래 4개 열의 뜻을 바꾼다 (열을 새로 만들지 않고 재해석한다):
#   Range            = 날아가는 거리가 아니라 "호의 바깥 반지름". Sword 가 10 -> 2 로 내려간 이유다.
#                      10 을 그대로 두면 화면 전체를 한 번에 베는 무기가 된다.
#   ProjectileCount  = 동시 발사 수가 아니라 "한 쿨다운에 몇 번 베는지"(연타)
#   ProjectilePrefab = 날아가는 발사체가 아니라 "휘두름 이펙트"(Fx_SwingArc)
#   ProjectileSpeed  = 안 쓴다 (0)
# ProjectilePrefab 의 그림은 반드시 오른쪽(+X)을 향해야 한다 — ProjectileBase 가 진행 방향으로 회전시킨다.
#   Bow 는 C7 에서 Proj_Bullet(총알 아이콘) -> Proj_Arrow(화살) 로 갈았다. 수치는 안 건드렸다.
#   Sword 는 C12 에서 근접으로 갈았다 (D10 이 만든 MeleeWeapon). 🔴 Damage/Cooldown/Size/Count 는
#     일부러 예전 값 그대로 두었다 - 사거리만 바꾼 대조 실험이라야 "근접이 된 탓"을 가릴 수 있다.
#     올릴지 말지는 TUNING.md §3 에서 플레이하고 정한다. 감으로 여기 박아 넣지 말 것.
#   Shuriken 은 관통 3 (Proj_Shuriken.prefab 의 pierceCount). 그래서 ProjectileCount 를
#     일부러 낮게(1->2) 잡았다 - 관통 위에 부채꼴을 얹으면 한 발이 9번 맞는다.
#     폭은 Bow, 깊이는 Shuriken 이다.
# 🔴 Weapon_Field 는 아래 2개 열의 뜻을 바꾼다 (C15):
#   Range           = 사거리가 아니라 "장판이 떨어질 수 있는 반경"(플레이어 주변 무작위)
#   Damage          = 1히트 피해가 아니라 "틱당 피해". 장판 4초 x 0.5초 틱 = 한 번 깔면 최대 8틱.
#                     다른 무기의 Damage 와 나란히 읽으면 8배로 착각한다. 반드시 x8 해서 볼 것.
#   ProjectileSpeed = 안 쓴다 (0). TravelPrefab 도 비운다 — 장판은 날아가지 않는다.
# TravelPrefab 은 AoE 무기 전용 — 폭발(ProjectilePrefab) 전에 목표까지 날아가는 몸체다.
#   BombProjectile 컴포넌트가 있어야 하고, ProjectileSpeed(유닛/초) 가 0 보다 커야 날아간다.
#   비워 두면 목표 지점에서 곧바로 터진다.
#   Bomb 은 C15 에서 Proj_BombGround + 속도 9 로 갈았다 - 날아가 바닥에 떨어져 1.1초 뒤 터진다.
#   🔴 Damage 는 일부러 안 올렸다. 검(C12)과 같은 대조 실험이다 - 느려진 값만 재려면 하나만 움직인다.
Id,WeaponName,WeaponPrefab,Icon,ProjectilePrefab,TravelPrefab,ProjectileSpeed,Damage,Cooldown,ProjectileSize,ProjectileCount,Range
Sword,Sword,Assets/Prefabs/Weapon_Melee.prefab,Assets/Game/Sprites/Weapons/Sword.png,Assets/Prefabs/Fx_SwingArc.prefab,,0,10|15|22|30|40,1.5|1.3|1.1|0.9|0.7,1|1.1|1.2|1.3|1.5,1|1|2|2|3,2|2|2.2|2.2|2.5
Bow,Bow,Assets/Prefabs/Weapon_Sword.prefab,Assets/Game/Sprites/Weapons/Bow.png,Assets/Prefabs/Proj_Arrow.prefab,,14,8|12|17|24|33,1.1|1|0.85|0.7|0.55,0.8|0.85|0.9|1|1.1,1|2|2|3|3,14|14|16|16|18
Gun,Gun,Assets/Prefabs/Weapon_Sword.prefab,Assets/Game/Sprites/Weapons/Gun.png,Assets/Prefabs/Proj_Bullet.prefab,,18,5|7|10|14|19,0.45|0.4|0.34|0.28|0.22,0.7|0.7|0.8|0.8|0.9,1|1|1|2|2,11|11|13|13|15
Fireball,Fireball,Assets/Prefabs/Weapon_Aoe.prefab,Assets/Game/Sprites/Weapons/Fireball.png,Assets/Prefabs/Proj_Aoe(Boom).prefab,Assets/Prefabs/Proj_Fireball.prefab,11,18|26|36|50|68,2.2|2|1.75|1.5|1.2,1|1.15|1.3|1.5|1.75,1|1|1|1|1,12|12|13|13|14
Bomb,Bomb,Assets/Prefabs/Weapon_Aoe.prefab,Assets/Game/Sprites/Weapons/Bomb.png,Assets/Prefabs/Proj_Aoe(Boom).prefab,Assets/Prefabs/Proj_BombGround.prefab,9,30|44|62|86|118,3.5|3.2|2.9|2.5|2,1.2|1.35|1.5|1.7|2,1|1|1|1|1,9|9|10|10|11
Shuriken,Shuriken,Assets/Prefabs/Weapon_Sword.prefab,Assets/Game/Sprites/Weapons/Shuriken.png,Assets/Prefabs/Proj_Shuriken.prefab,,16,6|9|13|17|23,0.9|0.8|0.7|0.6|0.5,0.9|0.95|1|1.1|1.2,1|1|1|2|2,12|12|14|14|16
Toxin,Toxin,Assets/Prefabs/Weapon_Field.prefab,Assets/Game/Sprites/Weapons/Toxin.png,Assets/Prefabs/Proj_ToxinField.prefab,,0,3|4|6|8|11,3|2.7|2.4|2.1|1.8,1|1.1|1.2|1.35|1.5,1|1|1|1|1,4|5|5|6|6
# ── 소환수 (C19 · D13 이 만든 SummonWeapon) ─────────────────────────────────
# 🔴 소환수는 판정 기준점이 플레이어가 아니라 "몸통"이다. 몸통은 플레이어에게서
#    offsetDistance(1.2) 만큼 떨어져 따라다닌다 — 아래 Range 는 전부 **몸통 기준**이다.
# 🔴 몸통 프리팹(Summon_Dragon · Summon_Octopus)은 이 표에 없다. 무기 프리팹의
#    bodyPrefab 필드에 물려 있다. followLerp · offsetAngle · frameRate 도 전부 프리팹이다.
# 소환 "수" 열은 없다. 소환수는 무기 슬롯 하나를 먹는 무기이고, 몇 마리를 두는지는
#   직업의 무기 슬롯 수가 정한다 (사용자 지시, DESIGN_CLASSES.md §5-A).
#
# SummonDragon = mode Ranged. 열 뜻이 Fireball(AoE)과 같다.
#   Range           = 날아가는 거리가 아니라 "몸통이 적을 찾는 반경". 7~9 로 잡았다 —
#                     Fireball(12~14)보다 좁다. 넓히면 화면 끝 적을 저격하는 포대가 되어
#                     "곁에 있는 동료"라는 정체성이 사라진다. 화면 세로 절반이 6 이다.
